GPS121,"Geophysical methods, matching geophysical methods to applications, planning a geophysical survey-general philosophy, planning strategy, survey constraints. Geophysical survey design- target identification, optimum line configuration, selection of station intervals, activities. History of various geophysical methods and advances in various fields.",C,
GPS413,"Origin and characteristics of Magnetotelluric fields and telluric currents. Elementary EM theory, attenuation, boundary conditions, field equipment, control source method. Geophysical prospecting with telluric and magnetotelluric field. Application in mineral and Hydrocarbon explorations.",E,"GPS323"
GPS321,"Earth’s magnetic field. Magnetic properties of rocks and ores. Instruments in magnetic surveying. The measurements of magnetic anomalies. Field procedure and processing of field data. Aerial magnetic surveys. Interpretation of magnetic anomalies. Theory and Ap plications. Resolving different geological problems by magnetic methods.",C,GPS121
GPS311,"Fundamental principles and instruments. Field procedure. Correction of gravity observations. The Bouguer and free air anomalies. Density of rocks and ores. Interpretation of gravity data. Application of gravity methods in regional geological investigation, in prospecting and exploration for oil and ores.",C,GPS121
GPS312,"Fundamental principles, electrical properties of rocks and ores. Self-Potential. Earth’s resistivity, electric profiling. Electrical sounding, interpretation of electric sounding data. Electrical mapping and prospecting. Induced polarization method, field procedure and interpretation.",C,GPS121
GPS322,"Introduction, advantages and disadvantages of seismic methods, elastic waves, types of seismic waves, wave propagation, interaction with boundaries, Snell’s law, velocities and rock properties, refraction basics, equipment, survey procedure, processing and interpretation, applications and case histories. Surface wave analysis, interpretation and application.",C,GPS121
GPS412,"An independent geological and geophysical field studies exercise lasting 4-8 weeks during the vacation break at the end of the second semester of 300 level. A detailed report of this exercise will have to be submitted after the exercise followed by seminar presentation.",C,
GPS314,"Role of geophysics in ore and oil prospecting, basic sciences and applied geology. The fundamentals of gravity, electrical and magnetic methods. Equipment, Survey process applications and case history. (This course is for Geology Students only).",C,GPS121
GPS326,"Concepts of energy and human development. Overview of world and local energy scene. Energy: types; generation; distribution; conventional and non -conventional. Alternative energy: need, categorization of sources. Sun as a primary source: solar geometry; solar resource assessment and distribution; solar irradiance wind energy. Biomass/Biogas. Geothermal. Fuel cells. Human environment: Human body, heat and mass transfer Energy. budget equation; survival in hot and cold climates. Built environment: thermal regulation, energy use, air regulation. Urban environment; energy generation and transmission. Pollution: water, air, noise, smog and acid rain. Environmental issues for the 21 st century.",C,
GPS327,"Origin of the solar system and the history of the Earth; Internal constitution of the Earth’s; Isotopic Age - determination. Earth’s magnetic field and paleomagentism. Heat flow of the earth and thermal conductivity. The structure of the continents and ocean. Orogeny an d mountain belts. Isostacy and shape of the earth. Seismicity and earthquake zone with their relationship to plate boundaries and subduction zones. Plate tectonics, continental drift and seafloor spreading. Island arc system.",E,
